"","Code","Texte","Regroupement"
"24","AHQP900","Mesure du réflexe nociceptif R III","ATM"
"25","AHQP016","Mesure des réflexes H et/ou T","ATM"
"26","AAQP007","Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes sans numérisation et sans enregistrement vidéo","ATM"
"27","AAQP129","Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 30 minutes, avec numérisation et enregistrement vidéo, chez un patient de moins de 6 ans","ATM"
"28","AAQP350","Électroencéphalographie sur 14 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, avec numérisation chez un patient de 6 ans ou plus","ATM"
"29","AAQP011","Électroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade","ATM"
"30","AAQP006","Électroencéphalographie de longue durée de 1 à 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo","ATM"
"31","AAQP010","Électroencéphalographie de longue durée de plus de 4 heures sur 8 dérivations ou plus, avec enregistrement vidéo","ATM"
"32","AAQP002","Électroencéphalographie continue ambulatoire sur 8 dérivations ou plus, pendant au moins 24 heures [Holter EEG]","ATM"
"33","AAQP009","Électroencéphalographie avec quantification, sur 32 dérivations ou plus","ATM"
"34","AAQP900","Électroencéphalographie avec modélisation de sources, sur 32 dérivations ou plus","ATM"
"35","AALA002","Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie","ADC"
"36","AALB002","Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique","ATM"
"37","AAQP013","Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures","ATM"
"38","AAQP003","Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures","ATM"
"39","AAQP012","Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures","ATM"
"40","AMQP009","Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives","ATM"
"41","AMQP010","Polysomnographie de 4 à 8 heures, sans enregistrement vidéo","ATM"
"42","AMQP011","Polysomnographie de 4 à 8 heures, avec enregistrement vidéo","ATM"
"43","AMQP012","Polysomnographie de 8 à 12 heures, sans enregistrement vidéo","ATM"
"44","AMQP013","Polysomnographie de 8 à 12 heures, avec enregistrement vidéo","ATM"
"45","AMQP014","Polysomnographie de 12 à 24 heures, sans enregistrement vidéo","ATM"
"46","AMQP015","Polysomnographie de 12 à 24 heures, avec enregistrement vidéo","ATM"
"47","AJQP001","Mesure des réponses cutanées sympathiques par électrode de surface","ATM"
"48","ABLB001","Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques","ADC"
"49","ABLB002","Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne","ADC"
"50","ABLB003","Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne","ADC"
"51","AFLB004","Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques","ADC"
"52","ABGA001","Ablation d'un capteur de pression intracrânienne","ADC"
"53","ABQP001","Surveillance continue de la pression intracrânienne, par 24 heures","ATM"
"54","AAQM002","Échographie transfontanellaire de l'encéphale","ADE"
"55","AEQM001","Échographie transcutanée de la moelle épinière","ADE"
"56","AEQH002","Myélographie cervicale","ADI"
"57","AEQH001","Myélographie dorsale et/ou lombale","ADI"
"58","AFQH003","Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]","ADI"
"59","AFQH002","Saccoradiculographie","ADI"
"60","AFQH001","Saccoradiculographie avec scanographie de la colonne vertébrale","ADI"
"61","ACQK001","Scanographie du crâne et de son contenu, sans injection de produit de contraste","ADI"
"62","ACQH003","Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste","ADI"
"63","ACQH001","Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]","ADI"
"64","ACQK003","Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique","ADI"
"65","ACQH002","Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste","ADI"
"66","ACQH004","Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste","ADI"
"67","ACQN001","Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste","ADI"
"68","ACQJ002","Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste","ADI"
"69","ACQN003","Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique","ADI"
"70","ACQN002","Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique","ADI"
"71","ACQN004","Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion","ADI"
"72","ACQJ001","Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques","ADI"
"73","AAQN004","Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices","ADI"
"74","AAQN900","Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles","ADI"
"75","AAQN901","Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques","ADI"
"76","AAQN902","Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]","ADI"
"77","AAQN002","Spectroscopie par résonance magnétique cérébrale protonique localisée","ADI"
"78","AAQN903","Spectroscopie par résonance magnétique cérébrale du phosphore","ADI"
"79","ACQL007","Tomoscintigraphie de perfusion cérébrale sans test d'activation","ADI"
"80","ACQL005","Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe","ADI"
"81","ACQL008","Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique","ADI"
"82","ACQL004","Tomoscintigraphie de perfusion cérébrale en période critique","ADI"
"83","ACQL001","Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme","ADI"
"84","ACQL003","Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale","ADI"
"85","ACQL002","Tomoscintigraphie cérébrale par émission de positons, avec tépographe [caméra TEP] dédié","ADI"
"86","ABQL002","Cisternographie radio-isotopique","ADI"
"87","ABQL003","Recherche radio-isotopique d'une brèche ostéoméningée","ADI"
"88","ABML001","Vérification radio-isotopique d'une dérivation du liquide cérébrospinal","ADI"
"89","BLQP001","Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux","ATM"
"90","BLQP009","Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste","ATM"
"91","CDQP017","Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes","ATM"
"92","CDQP006","Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale","ATM"
"93","CDQP014","Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale","ATM"
"94","CDQP008","Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses","ATM"
"95","CEQP008","Enregistrement des potentiels évoqués vestibulaires d’origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie","ATM"
"96","ANQP004","Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs","ATM"
"97","ANQP006","Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs","ATM"
"98","ANQP002","Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs pudendaux [nerfs honteux]","ATM"
"99","AHQP004","Enregistrement des potentiels moteurs par stimulation corticale et/ou spinale","ATM"
"100","ALQP001","Enregistrement des potentiels évoqués cognitifs événementiels","ATM"
"101","ANQP005","Enregistrement des potentiels évoqués nociceptifs avec mesure des amplitudes et des latences des réponses corticales, par stimulation au laser","ATM"
"102","AZQP002","Enregistrement de potentiels évoqués, au lit du malade","ATM"
"103","ACQC001","Exploration intracrânienne, par vidéochirurgie","ADC"
"104","ABHB002","Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire","ATM"
"105","ABHB001","Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne","ATM"
"106","AFHB001","Ponction de liquide cérébrospinal, par voie infraoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]","ATM"
"107","AFHB002","Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]","ATM"
"108","ACHH001","Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique","ATM"
"109","ACHJ001","Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM]","ATM"
"110","ACHB001","Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique","ATM"
"111","ACHA002","Biopsie de lésion intracrânienne, par craniotomie","ADC"
"112","ACHA003","Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale","ADC"
"113","ACHA001","Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal","ADC"
"114","AHHB001","Biopsie de nerf périphérique, par voie transcutanée","ATM"
"115","AHHA001","Biopsie de nerf périphérique, par abord direct","ADC"
"116","AHHA002","Biopsie neuromusculaire, par abord direct","ADC"
"117","AGLB001","Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique","ATM"
"118","ANLB004","Injection intrathécale d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique","ATM"
"119","ADLH001","Infiltration anesthésique du ganglion trigéminal avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"120","ADLH002","Infiltration anesthésique d'une branche de division du nerf trijumeau avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"121","ADLH003","Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"122","AHLH001","Infiltration anesthésique de nerf spinal à son émergence rachidienne avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"123","AHLH011","Infiltration anesthésique de branche dorsale de nerf spinal avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"124","AHLH008","Infiltration anesthésique unilatérale ou bilatérale du nerf grand occipital [d'Arnold] avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"125","AHLB008","Infiltration anesthésique du plexus brachial, avec évaluation diagnostique et pronostique","ATM"
"126","AHLH016","Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"127","AHLH005","Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage scanographique","ATM"
"128","AHLB007","Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, sans stimulodétection électrique","ATM"
"129","AHLB017","Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, avec stimulodétection électrique","ATM"
"130","AHLB005","Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, sans guidage","ATM"
"131","AHLH009","Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"132","AHLH020","Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage scanographique","ATM"
"133","AJLH004","Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"134","AJLH012","Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage scanographique","ATM"
"135","AJLB002","Infiltration anesthésique du ganglion cervicothoracique [stellaire], avec évaluation diagnostique et pronostique","ATM"
"136","AJLH014","Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"137","AJLH018","Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage scanographique","ATM"
"138","AJLJ001","Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage échographique","ATM"
"139","AJLH006","Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"140","AJLJ003","Infiltration anesthésique du plexus cœliaque avec évaluation diagnostique et pronostique, avec guidage échographique","ATM"
"141","AJLH007","Infiltration anesthésique du plexus cœliaque avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"142","AJLH015","Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"143","AJLH001","Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage scanographique","ATM"
"144","AJLH002","Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage radiologique","ATM"
"145","AJLH010","Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage scanographique","ATM"
"146","ALQP006","Test d'évaluation d'un déficit cognitif","ATM"
"147","ALQP002","Test d'évaluation de l'efficience intellectuelle de l'enfant","ATM"
"148","ALQP005","Test d'évaluation de l'efficience intellectuelle de l'adulte","ATM"
"149","ALQP003","Test d'évaluation d'une dépression","ATM"
"150","ALQP004","Test d'évaluation des aspects psychopathologiques de la personnalité","ATM"
"151","ZFQP002","Test d'évaluation et de catégorisation des déficiences, incapacités et désavantages sociaux","ATM"
"152","ZFQP003","Test d'évaluation de la qualité de vie","ATM"
"153","AZQX005","Examen anatomopathologique à visée carcinologique de pièce d'exérèse de tumeur de l'encéphale, de la moelle épinière, ou des méninges","ATM"
"154","AZQP001","Actimétrie de longue durée","ATM"
"155","AANB001","Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique","ADC"
"156","AAPA900","Déconnexion d'une zone épileptogène, par craniotomie","ADC"
"157","AAFA007","Excision d'une zone épileptogène, par craniotomie","ADC"
"158","AAFA004","Hémisphérectomie fonctionnelle, par craniotomie","ADC"
"159","AAFA005","Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie","ADC"
"160","AAFA002","Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie","ADC"
"161","AAFA006","Résection de parenchyme cérébral pour infarctus expansif, par craniotomie","ADC"
"162","AAJH003","Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique","ADC"
"163","AAJH001","Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique","ADC"
"164","AAJA001","Évacuation de collection intracérébrale, par craniotomie","ADC"
"165","AAJA005","Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente","ADC"
"166","AAJH004","Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique","ADC"
"167","AAJH002","Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique","ADC"
"168","AAJA004","Évacuation d'hématome intracérébral non traumatique, par craniotomie","ADC"
"169","AAJA002","Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie","ADC"
"170","AAFA001","Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie","ADC"
"171","AAFA008","Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie","ADC"
"172","AAFA003","Exérèse de lésion du tronc cérébral, par craniotomie","ADC"
"173","AAJA003","Évacuation d'hématome intracérébelleux, par craniotomie","ADC"
"174","AAJA006","Parage de plaie craniocérébrale","ADC"
"175","ABJB002","Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire","ATM"
"176","ABJB001","Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne","ADC"
"177","ABLA001","Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané","ADC"
"178","ABGA003","Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral","ADC"
"179","ABLB006","Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté","ATM"
"180","ABCB001","Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne","ADC"
"181","ABCA003","Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct","ADC"
"182","ABCA002","Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct","ADC"
"183","ABCA004","Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct","ADC"
"184","ABCC001","Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne","ADC"
"185","ABCA001","Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie","ADC"
"186","ABMA003","Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie","ADC"
"187","ABSA012","Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie","ADC"
"188","ABSA010","Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal","ADC"
"189","ABSA011","Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal","ADC"
"190","ABSA005","Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire","ADC"
"191","ABSA007","Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie","ADC"
"192","ABSA003","Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal","ADC"
"193","ABSA001","Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie","ADC"
"194","ABSA002","Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique","ADC"
"195","ABSA006","Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux","ADC"
"196","ABSA004","Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical","ADC"
"197","ABSA008","Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne","ADC"
"198","ABSA009","Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie","ADC"
"199","ABFA007","Exérèse d'une fistule dermique avec prolongement intradural occipital","ADC"
"200","ABFA003","Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne","ADC"
"201","ABFA001","Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire","ADC"
"202","ABFA004","Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire","ADC"
"203","ABJA005","Évacuation d'un hématome extradural supratentoriel, par craniotomie","ADC"
"204","ABJA004","Évacuation d'un hématome extradural infratentoriel, par craniotomie","ADC"
"205","ABJA007","Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie","ADC"
"206","ABJA002","Évacuation d'un hématome subdural aigu, par craniotomie","ADC"
"207","ABJA003","Évacuation d'un hématome subdural chronique unilatéral, par craniotomie","ADC"
"208","ABJA006","Évacuation d'un hématome subdural chronique bilatéral, par craniotomie","ADC"
"209","ABJA008","Évacuation d'un empyème intracrânien extracérébral, par craniotomie","ADC"
"210","ABJC900","Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie","ADC"
"211","ABJA001","Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie","ADC"
"212","ACFA001","Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale","ADC"
"213","ACFA015","Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale","ADC"
"214","ACFA026","Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal","ADC"
"215","ACFA022","Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie","ADC"
"216","ACFA011","Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie","ADC"
"217","ACFA013","Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie","ADC"
"218","ACFA006","Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux","ADC"
"219","ACFA029","Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux","ADC"
"220","ACFA003","Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique","ADC"
"221","ACFA009","Exérèse de tumeur de la pointe du rocher, par abord suprapétreux","ADC"
"222","ACFA016","Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux","ADC"
"223","ACFA025","Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux","ADC"
"224","ACFA004","Exérèse de tumeur du clivus, par craniotomie","ADC"
"225","ACFA020","Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal","ADC"
"226","ACFA012","Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux","ADC"
"227","ACFA007","Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique","ADC"
"228","ACFA005","Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien","ADC"
"229","ACFA010","Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien","ADC"
"230","ACFA027","Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique","ADC"
"231","ACFA014","Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords","ADC"
"232","ACFA024","Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie","ADC"
"233","ACFA019","Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie","ADC"
"234","ACFA023","Exérèse de tumeur du foramen jugulaire, par craniotomie","ADC"
"235","ACFA002","Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie","ADC"
"236","ACFA028","Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie","ADC"
"237","ACFA008","Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie","ADC"
"238","ACFA018","Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie","ADC"
"239","ABFA010","Exérèse de tumeur de la faux du cerveau, par craniotomie","ADC"
"240","ABFA008","Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle","ADC"
"241","ABFA009","Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle","ADC"
"242","ABFC002","Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne","ADC"
"243","ABFA005","Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie","ADC"
"244","ABFC001","Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne","ADC"
"245","ABFA002","Exérèse de lésion du troisième ventricule, par craniotomie","ADC"
"246","ABFA006","Exérèse de lésion du quatrième ventricule, par craniotomie","ADC"
"247","AENA001","Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale, par abord postérieur","ADC"
"248","AEPB001","Cordotomie spinale, par voie transcutanée","ATM"
"249","AEPA002","Myélotomie, commissurotomie ou cordotomie spinale, par abord postérieur","ADC"
"250","AHPA025","Radicotomie spinale, par abord postérieur","ADC"
"251","AEPA001","Libération de moelle attachée, par abord postérieur","ADC"
"252","AEFA001","Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur","ADC"
"253","AEFA002","Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur","ADC"
"254","AEFA003","Exérèse de lésion du cône médullaire, par abord postérieur","ADC"
"255","AHFA007","Exérèse de lésion de la queue de cheval sur un étage vertébral, par abord postérieur","ADC"
"256","AHFA003","Exérèse de lésion de la queue de cheval étendue sur plusieurs étages vertébraux [lésion géante de la queue de cheval], par abord postérieur","ADC"
"257","AHFA012","Exérèse de lipome de la queue de cheval avec fermeture de méningocèle ou de myéloméningocèle, par abord postérieur","ADC"
"258","AEJA004","Parage et fermeture de plaie pénétrante vertébrospinale, par abord postérieur","ADC"
"259","AEJA001","Parage et fermeture de plaie pénétrante vertébrospinale, par abord antérieur ou antérolatéral","ADC"
