CIM_COD;CIM_LIB;ALD_030_COD;CAT_CIM_COD;VER_CPT_COD;VER_CPT_DTE;CAT_TUM_COD
C631;Tumeur maligne du cordon spermatique;30;C63;V8.0;02JUL2017:00:00:00;99.0
C632;Tumeur maligne du scrotum;30;C63;V8.0;02JUL2017:00:00:00;99.0
C637;Tumeur maligne d'autres organes génitaux de l'homme précisés;30;C63;V8.0;02JUL2017:00:00:00;99.0
C638;Tumeur maligne à localisations contiguës des organes génitaux de l'homme;30;C63;V8.0;02JUL2017:00:00:00;99.0
C639;Tumeur maligne d'un organe génital de l'homme, sans précision;30;C63;V8.0;02JUL2017:00:00:00;99.0
C64;Tumeur maligne du rein, à l'exception du bassinet;30;C64;V8.0;02JUL2017:00:00:00;17.0
C65;Tumeur maligne du bassinet;30;C65;V8.0;02JUL2017:00:00:00;17.0
C66;Tumeur maligne de l'uretère;30;C66;V8.0;02JUL2017:00:00:00;17.0
C67;Tumeur maligne de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C670;Tumeur maligne du trigone de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C671;Tumeur maligne du dôme de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C672;Tumeur maligne de la paroi latérale de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C673;Tumeur maligne de la paroi antérieure de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C674;Tumeur maligne de la paroi postérieure de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C675;Tumeur maligne du col vésical;30;C67;V8.0;02JUL2017:00:00:00;16.0
C676;Tumeur maligne de l'orifice urétéral;30;C67;V8.0;02JUL2017:00:00:00;16.0
C677;Tumeur maligne de l'ouraque;30;C67;V8.0;02JUL2017:00:00:00;16.0
C678;Tumeur maligne à localisations contiguës de la vessie;30;C67;V8.0;02JUL2017:00:00:00;16.0
C679;Tumeur maligne de la vessie, sans précision;30;C67;V8.0;02JUL2017:00:00:00;16.0
C68;Tumeur maligne des organes urinaires, autres et non précisés;30;C68;V8.0;02JUL2017:00:00:00;17.0
C680;Tumeur maligne de l'urètre;30;C68;V8.0;02JUL2017:00:00:00;17.0
C681;Tumeur maligne de la glande urétrale;30;C68;V8.0;02JUL2017:00:00:00;17.0
C688;Tumeur maligne à localisations contiguës des organes urinaires;30;C68;V8.0;02JUL2017:00:00:00;17.0
C689;Tumeur maligne d'un organe urinaire, sans précision;30;C68;V8.0;02JUL2017:00:00:00;17.0
C69;Tumeur maligne de l'oeil et de ses annexes;30;C69;V8.0;02JUL2017:00:00:00;99.0
C690;Tumeur maligne de la conjonctive;30;C69;V8.0;02JUL2017:00:00:00;99.0
C691;Tumeur maligne de la cornée;30;C69;V8.0;02JUL2017:00:00:00;99.0
C692;Tumeur maligne de la rétine;30;C69;V8.0;02JUL2017:00:00:00;99.0
C693;Tumeur maligne de la choroïde;30;C69;V8.0;02JUL2017:00:00:00;99.0
C694;Tumeur maligne du corps ciliaire;30;C69;V8.0;02JUL2017:00:00:00;99.0
C695;Tumeur maligne de la glande lacrymale et du canal lacrymal;30;C69;V8.0;02JUL2017:00:00:00;99.0
C696;Tumeur maligne de l'orbite;30;C69;V8.0;02JUL2017:00:00:00;99.0
C698;Tumeur maligne à localisations contiguës de l'oeil et de ses annexes;30;C69;V8.0;02JUL2017:00:00:00;99.0
C699;Tumeur maligne de l'oeil, sans précision;30;C69;V8.0;02JUL2017:00:00:00;99.0
C70;Tumeur maligne des méninges;30;C70;V8.0;02JUL2017:00:00:00;18.0
C700;Tumeur maligne des méninges cérébrales;30;C70;V8.0;02JUL2017:00:00:00;18.0
C701;Tumeur maligne des méninges rachidiennes;30;C70;V8.0;02JUL2017:00:00:00;18.0
C709;Tumeur maligne des méninges, sans précision;30;C70;V8.0;02JUL2017:00:00:00;18.0
C71;Tumeur maligne de l'encéphale;30;C71;V8.0;02JUL2017:00:00:00;18.0
C710;Tumeur maligne du cerveau, sauf lobes et ventricules;30;C71;V8.0;02JUL2017:00:00:00;18.0
C711;Tumeur maligne du lobe frontal;30;C71;V8.0;02JUL2017:00:00:00;18.0
C712;Tumeur maligne du lobe temporal;30;C71;V8.0;02JUL2017:00:00:00;18.0
C713;Tumeur maligne du lobe pariétal;30;C71;V8.0;02JUL2017:00:00:00;18.0
C714;Tumeur maligne du lobe occipital;30;C71;V8.0;02JUL2017:00:00:00;18.0
C715;Tumeur maligne d'un ventricule cérébral;30;C71;V8.0;02JUL2017:00:00:00;18.0
C716;Tumeur maligne du cervelet;30;C71;V8.0;02JUL2017:00:00:00;18.0
C717;Tumeur maligne du tronc cérébral;30;C71;V8.0;02JUL2017:00:00:00;18.0
C718;Tumeur maligne à localisations contiguës de l'encéphale;30;C71;V8.0;02JUL2017:00:00:00;18.0
C719;Tumeur maligne de l'encéphale, sans précision;30;C71;V8.0;02JUL2017:00:00:00;18.0
A028;Autres infections précisées à Salmonella;99;A02;V8.0;02JUL2017:00:00:00;
A029;Salmonellose, sans précision;99;A02;V8.0;02JUL2017:00:00:00;
A03;Shigellose;99;A03;V8.0;02JUL2017:00:00:00;
A030;Shigellose à Shigella dysenteriae;99;A03;V8.0;02JUL2017:00:00:00;
A031;Shigellose à Shigella flexneri;99;A03;V8.0;02JUL2017:00:00:00;
A032;Shigellose à Shigella boydii;99;A03;V8.0;02JUL2017:00:00:00;
A033;Shigellose à Shigella sonnei;99;A03;V8.0;02JUL2017:00:00:00;
A038;Autres shigelloses;99;A03;V8.0;02JUL2017:00:00:00;
A039;Shigellose, sans précision;99;A03;V8.0;02JUL2017:00:00:00;
A04;Autres infections intestinales bactériennes;99;A04;V8.0;02JUL2017:00:00:00;
A040;Infection entéropathogène à Escherichia coli;99;A04;V8.0;02JUL2017:00:00:00;
A041;Infection entérotoxigène à Escherichia coli;99;A04;V8.0;02JUL2017:00:00:00;
A042;Infection entéro-invasive à Escherichia coli;99;A04;V8.0;02JUL2017:00:00:00;
A043;Infection entéro-hémorragique à Escherichia coli;99;A04;V8.0;02JUL2017:00:00:00;
A044;Autres infections intestinales à Escherichia coli;99;A04;V8.0;02JUL2017:00:00:00;
A045;Entérite à Campylobacter;99;A04;V8.0;02JUL2017:00:00:00;
A046;Entérite à Yersinia enterocolitica;99;A04;V8.0;02JUL2017:00:00:00;
A047;Entérocolite à Clostridium difficile;99;A04;V8.0;02JUL2017:00:00:00;
A048;Autres infections intestinales bactériennes précisées;99;A04;V8.0;02JUL2017:00:00:00;
A049;Infection intestinale bactérienne, sans précision;99;A04;V8.0;02JUL2017:00:00:00;
A05;Autres intoxications bactériennes d'origine alimentaire, non classées ailleurs;99;A05;V8.0;02JUL2017:00:00:00;
A050;Intoxication alimentaire à staphylocoques;99;A05;V8.0;02JUL2017:00:00:00;
A051;Botulisme;99;A05;V8.0;02JUL2017:00:00:00;
A052;Intoxication alimentaire à Clostridium perfringens [Clostridium welchii];99;A05;V8.0;02JUL2017:00:00:00;
A053;Intoxication alimentaire à Vibrio parahaemolyticus;99;A05;V8.0;02JUL2017:00:00:00;
A054;Intoxication alimentaire à Bacillus cereus;99;A05;V8.0;02JUL2017:00:00:00;
A058;Autres intoxications bactériennes d'origine alimentaire précisées;99;A05;V8.0;02JUL2017:00:00:00;
A059;Intoxication bactérienne d'origine alimentaire, sans précision;99;A05;V8.0;02JUL2017:00:00:00;
A06;Amibiase;99;A06;V8.0;02JUL2017:00:00:00;
A060;Dysenterie amibienne (aiguë);99;A06;V8.0;02JUL2017:00:00:00;
A061;Amibiase intestinale chronique;99;A06;V8.0;02JUL2017:00:00:00;
A062;Colite amibienne non dysentérique;99;A06;V8.0;02JUL2017:00:00:00;
A063;Amobome (de l'intestin);99;A06;V8.0;02JUL2017:00:00:00;
A064;Abcès amibien du foie;99;A06;V8.0;02JUL2017:00:00:00;
A065;Abcès amibien du poumon (J99.8*);99;A06;V8.0;02JUL2017:00:00:00;
A066;Abcès amibien du cerveau (G07*);99;A06;V8.0;02JUL2017:00:00:00;
A067;Amibiase cutanée;99;A06;V8.0;02JUL2017:00:00:00;
A068;Autres localisations d'une infection amibienne;99;A06;V8.0;02JUL2017:00:00:00;
A069;Amibiase, sans précision;99;A06;V8.0;02JUL2017:00:00:00;
A07;Autres maladies intestinales à protozoaires;99;A07;V8.0;02JUL2017:00:00:00;
A070;Balantidiose;99;A07;V8.0;02JUL2017:00:00:00;
A071;Giardiase [lambliase];99;A07;V8.0;02JUL2017:00:00:00;
A072;Cryptosporidiose;99;A07;V8.0;02JUL2017:00:00:00;
A073;Infection à Isospora;99;A07;V8.0;02JUL2017:00:00:00;
A078;Autres maladies intestinales précisées, à protozoaires;99;A07;V8.0;02JUL2017:00:00:00;
A079;Maladie intestinale à protozoaires, sans précision;99;A07;V8.0;02JUL2017:00:00:00;
A08;Infections virales intestinales et autres infections intestinales précisées;99;A08;V8.0;02JUL2017:00:00:00;
A080;Entérite à rotavirus;99;A08;V8.0;02JUL2017:00:00:00;
A081;Gastro-entéropathie (aiguë) à l'agent de Norwalk;99;A08;V8.0;02JUL2017:00:00:00;
A082;Entérite à adénovirus;99;A08;V8.0;02JUL2017:00:00:00;
A083;Autres entérites virales;99;A08;V8.0;02JUL2017:00:00:00;
A084;Infections intestinales virales, sans précision;99;A08;V8.0;02JUL2017:00:00:00;
A085;Autres infections intestinales précisées;99;A08;V8.0;02JUL2017:00:00:00;
A09;Autres gastroentérites et colites d'origine infectieuse et non précisée;99;A09;V8.0;02JUL2017:00:00:00;
A090;Gastroentérites et colites d'origine infectieuse, autres et non précisées;99;A09;V8.0;02JUL2017:00:00:00;
A099;Gastroentérites et colites d'origine non précisée;99;A09;V8.0;02JUL2017:00:00:00;
A15;Tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A150;Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture;29;A15;V8.0;02JUL2017:00:00:00;
A151;Tuberculose pulmonaire, confirmée par culture seulement;29;A15;V8.0;02JUL2017:00:00:00;
A152;Tuberculose pulmonaire, avec confirmation histologique;29;A15;V8.0;02JUL2017:00:00:00;
A153;Tuberculose pulmonaire, avec confirmation, moyen non précisé;29;A15;V8.0;02JUL2017:00:00:00;
A154;Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A155;Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A156;Pleurésie tuberculeuse, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A157;Primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A158;Autres formes de tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A159;Tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique;29;A15;V8.0;02JUL2017:00:00:00;
A16;Tuberculose de l'appareil respiratoire, sans confirmation bactériologique ou histologique;29;A16;V8.0;02JUL2017:00:00:00;
A160;Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs;29;A16;V8.0;02JUL2017:00:00:00;
A161;Tuberculose pulmonaire, sans examen bactériologique et histologique;29;A16;V8.0;02JUL2017:00:00:00;
A162;Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A163;Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A164;Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A165;Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A167;Primo-infection tuberculeuse de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A168;Autres formes de tuberculose de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A169;Tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique);29;A16;V8.0;02JUL2017:00:00:00;
A17;Tuberculose du système nerveux;29;A17;V8.0;02JUL2017:00:00:00;
A170;Méningite tuberculeuse (G01*);29;A17;V8.0;02JUL2017:00:00:00;
A171;Tuberculome méningé (G07*);29;A17;V8.0;02JUL2017:00:00:00;
A178;Autres formes de tuberculose du système nerveux;29;A17;V8.0;02JUL2017:00:00:00;
A179;Tuberculose du système nerveux, sans précision (G99.8*);29;A17;V8.0;02JUL2017:00:00:00;
A18;Tuberculose d'autres organes;29;A18;V8.0;02JUL2017:00:00:00;
A180;Tuberculose des os et des articulations;29;A18;V8.0;02JUL2017:00:00:00;
A00;Choléra;99;A00;V8.0;02JUL2017:00:00:00;
A000;Choléra à Vibrio cholerae 01, biovar cholerae;99;A00;V8.0;02JUL2017:00:00:00;
A001;Choléra à Vibrio cholerae 01, biovar El Tor;99;A00;V8.0;02JUL2017:00:00:00;
A009;Choléra, sans précision;99;A00;V8.0;02JUL2017:00:00:00;
A01;Fièvres typhoïde et paratyphoïde;99;A01;V8.0;02JUL2017:00:00:00;
A010;Fièvre typhoïde;99;A01;V8.0;02JUL2017:00:00:00;
A011;Paratyphoïde A;99;A01;V8.0;02JUL2017:00:00:00;
A012;Paratyphoïde B;99;A01;V8.0;02JUL2017:00:00:00;
A013;Paratyphoïde C;99;A01;V8.0;02JUL2017:00:00:00;
A014;Paratyphoïde, sans précision;99;A01;V8.0;02JUL2017:00:00:00;
A02;Autres salmonelloses;99;A02;V8.0;02JUL2017:00:00:00;
A020;Entérite à Salmonella;99;A02;V8.0;02JUL2017:00:00:00;
A021;Sepsis à Salmonella;99;A02;V8.0;02JUL2017:00:00:00;
A022;Infection localisée à Salmonella;99;A02;V8.0;02JUL2017:00:00:00;
A181;Tuberculose de l'appareil génito-urinaire;29;A18;V8.0;02JUL2017:00:00:00;
A182;Adénopathie tuberculeuse périphérique;29;A18;V8.0;02JUL2017:00:00:00;
A183;Tuberculose de l'intestin, du péritoine et des ganglions mésentériques;29;A18;V8.0;02JUL2017:00:00:00;
A184;Tuberculose de la peau et du tissu cellulaire sous-cutané;29;A18;V8.0;02JUL2017:00:00:00;
A480;Gangrène gazeuse;99;A48;V8.0;02JUL2017:00:00:00;
A481;Maladie des légionnaires (pulmonaire);99;A48;V8.0;02JUL2017:00:00:00;
A482;Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac];99;A48;V8.0;02JUL2017:00:00:00;
A483;Syndrome du choc toxique;99;A48;V8.0;02JUL2017:00:00:00;
A484;Fièvre purpurique du Brésil;99;A48;V8.0;02JUL2017:00:00:00;
A488;Autres maladies bactériennes précisées;99;A48;V8.0;02JUL2017:00:00:00;
A49;Infection bactérienne, siège non précisé;99;A49;V8.0;02JUL2017:00:00:00;
A490;Infection à staphylocoques, siège non précisé;99;A49;V8.0;02JUL2017:00:00:00;
A491;Infection à streptocoques, siège non précisé;99;A49;V8.0;02JUL2017:00:00:00;
A492;Infection à Haemophilus influenzae, siège non précisé;99;A49;V8.0;02JUL2017:00:00:00;
A493;Infection à Mycoplasma, siège non précisé;99;A49;V8.0;02JUL2017:00:00:00;
A498;Autres infections bactériennes, siège non précisé;99;A49;V8.0;02JUL2017:00:00:00;
A499;Infection bactérienne, sans précision;99;A49;V8.0;02JUL2017:00:00:00;
A50;Syphilis congénitale;99;A50;V8.0;02JUL2017:00:00:00;
A500;Syphilis congénitale précoce, symptomatique;99;A50;V8.0;02JUL2017:00:00:00;
A501;Syphilis congénitale précoce, latente;99;A50;V8.0;02JUL2017:00:00:00;
A502;Syphilis congénitale précoce, sans précision;99;A50;V8.0;02JUL2017:00:00:00;
A503;Oculopathie syphilitique congénitale tardive;99;A50;V8.0;02JUL2017:00:00:00;
A504;Syphilis congénitale nerveuse tardive [neuro-syphilis juvénile];99;A50;V8.0;02JUL2017:00:00:00;
A505;Autres formes tardives de syphilis congénitale, symptomatique;99;A50;V8.0;02JUL2017:00:00:00;
A506;Syphilis congénitale tardive, latente;99;A50;V8.0;02JUL2017:00:00:00;
A507;Syphilis congénitale tardive, sans précision;99;A50;V8.0;02JUL2017:00:00:00;
A509;Syphilis congénitale, sans précision;99;A50;V8.0;02JUL2017:00:00:00;
A51;Syphilis précoce;99;A51;V8.0;02JUL2017:00:00:00;
A510;Syphilis génitale primaire;99;A51;V8.0;02JUL2017:00:00:00;
A511;Syphilis anale primaire;99;A51;V8.0;02JUL2017:00:00:00;
A512;Syphilis primaire d'autres localisations;99;A51;V8.0;02JUL2017:00:00:00;
A513;Syphilis secondaire de la peau et des muqueuses;99;A51;V8.0;02JUL2017:00:00:00;
A514;Autres formes de syphilis secondaire;99;A51;V8.0;02JUL2017:00:00:00;
A515;Syphilis précoce, latente;99;A51;V8.0;02JUL2017:00:00:00;
A519;Syphilis précoce, sans précision;99;A51;V8.0;02JUL2017:00:00:00;
A52;Syphilis tardive;99;A52;V8.0;02JUL2017:00:00:00;
A520;Syphilis cardio-vasculaire;99;A52;V8.0;02JUL2017:00:00:00;
A521;Syphilis nerveuse symptomatique;99;A52;V8.0;02JUL2017:00:00:00;
A522;Syphilis nerveuse asymptomatique;99;A52;V8.0;02JUL2017:00:00:00;
A523;Syphilis nerveuse, sans précision;99;A52;V8.0;02JUL2017:00:00:00;
A527;Autres formes tardives de syphilis symptomatique;99;A52;V8.0;02JUL2017:00:00:00;
A528;Syphilis tardive, latente;99;A52;V8.0;02JUL2017:00:00:00;
A529;Syphilis tardive, sans précision;99;A52;V8.0;02JUL2017:00:00:00;
A53;Syphilis, autres et sans précision;99;A53;V8.0;02JUL2017:00:00:00;
A530;Syphilis latente, (non précisée précoce ou tardive);99;A53;V8.0;02JUL2017:00:00:00;
A539;Syphilis, sans précision;99;A53;V8.0;02JUL2017:00:00:00;
A54;Infection gonococcique;99;A54;V8.0;02JUL2017:00:00:00;
A540;Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, (sans abcès périurétral ou des glandes annexes);99;A54;V8.0;02JUL2017:00:00:00;
A541;Infection gonococcique de la partie inférieure de l'appareil génito-urinaire, avec abcès périurétral et des glandes annexes;99;A54;V8.0;02JUL2017:00:00:00;
A542;Pelvipéritonite gonococcique et autres infections génito-urinaires gonococciques;99;A54;V8.0;02JUL2017:00:00:00;
A543;Infection gonococcique de l'oeil;99;A54;V8.0;02JUL2017:00:00:00;
A544;Infection gonococcique du système ostéo-articulaire et des muscles;99;A54;V8.0;02JUL2017:00:00:00;
A545;Pharyngite gonococcique;99;A54;V8.0;02JUL2017:00:00:00;
A546;Infection gonococcique de l'anus et du rectum;99;A54;V8.0;02JUL2017:00:00:00;
A548;Autres infections gonococciques;99;A54;V8.0;02JUL2017:00:00:00;
A549;Infection gonococcique, sans précision;99;A54;V8.0;02JUL2017:00:00:00;
A55;Lymphogranulomatose vénérienne à Chlamydia;99;A55;V8.0;02JUL2017:00:00:00;
A56;Autres infections à Chlamydia transmises par voie sexuelle;99;A56;V8.0;02JUL2017:00:00:00;
A560;Infection à Chlamydia de la partie inférieure de l'appareil génito-urinaire;99;A56;V8.0;02JUL2017:00:00:00;
A561;Infection à Chlamydia, pelvi-péritonéale et des autres organes génito-urinaires;99;A56;V8.0;02JUL2017:00:00:00;
A562;Infection à Chlamydia de l'appareil génito-urinaire, sans précision;99;A56;V8.0;02JUL2017:00:00:00;
A563;Infection à Chlamydia de l'anus et du rectum;99;A56;V8.0;02JUL2017:00:00:00;
A564;Infection à Chlamydia du pharynx;99;A56;V8.0;02JUL2017:00:00:00;
A568;Infection à Chlamydia transmise par voie sexuelle, autres localisations;99;A56;V8.0;02JUL2017:00:00:00;
A57;Chancre mou;99;A57;V8.0;02JUL2017:00:00:00;
A58;Granulome inguinal;99;A58;V8.0;02JUL2017:00:00:00;
A59;Trichomonase;99;A59;V8.0;02JUL2017:00:00:00;
A590;Trichomonase uro-génitale;99;A59;V8.0;02JUL2017:00:00:00;
A598;Autres localisations de trichomonase;99;A59;V8.0;02JUL2017:00:00:00;
A599;Trichomonase, sans précision;99;A59;V8.0;02JUL2017:00:00:00;
A60;Infection ano-génitale par le virus de l'herpès [herpes simplex];99;A60;V8.0;02JUL2017:00:00:00;
A600;Infection des organes génitaux et de l'appareil génito-urinaire par le virus de l'herpès;99;A60;V8.0;02JUL2017:00:00:00;
A601;Infection de la marge cutanée de l'anus et du rectum, par le virus de l'herpès;99;A60;V8.0;02JUL2017:00:00:00;
A609;Infection ano-génitale par le virus de l'herpès, sans précision;99;A60;V8.0;02JUL2017:00:00:00;
A63;Autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs;99;A63;V8.0;02JUL2017:00:00:00;
A630;Condylomes ano-génitaux (vénériens);99;A63;V8.0;02JUL2017:00:00:00;
A6300;Condylomes anaux (vénériens);99;A63;V8.0;02JUL2017:00:00:00;
A6308;Autres condylomes ano-génitaux (vénériens);99;A63;V8.0;02JUL2017:00:00:00;
A638;Autres maladies précisées dont le mode de transmission est essentiellement sexuel;99;A63;V8.0;02JUL2017:00:00:00;
A64;Maladie sexuellement transmise, sans précision;99;A64;V8.0;02JUL2017:00:00:00;
A65;Syphilis non vénérienne;99;A65;V8.0;02JUL2017:00:00:00;
A66;Pian;99;A66;V8.0;02JUL2017:00:00:00;
A660;Lésions initiales du pian;99;A66;V8.0;02JUL2017:00:00:00;
A661;Papillomes multiples et pian plantaire humide (pian-crabe);99;A66;V8.0;02JUL2017:00:00:00;
A662;Autres lésions cutanées précoces du pian;99;A66;V8.0;02JUL2017:00:00:00;
A663;Hyperkératose pianique;99;A66;V8.0;02JUL2017:00:00:00;
A664;Gommes et ulcères pianiques;99;A66;V8.0;02JUL2017:00:00:00;
A665;Gangosa;99;A66;V8.0;02JUL2017:00:00:00;
A666;Lésions ostéo-articulaires pianiques;99;A66;V8.0;02JUL2017:00:00:00;
A667;Autres manifestations du pian;99;A66;V8.0;02JUL2017:00:00:00;
A668;Pian latent;99;A66;V8.0;02JUL2017:00:00:00;
A669;Pian, sans précision;99;A66;V8.0;02JUL2017:00:00:00;
A67;Pinta [caraté];99;A67;V8.0;02JUL2017:00:00:00;
A670;Lésions initiales de la pinta;99;A67;V8.0;02JUL2017:00:00:00;
A671;Lésions intermédiaires de la pinta;99;A67;V8.0;02JUL2017:00:00:00;
A672;Lésions tardives de la pinta;99;A67;V8.0;02JUL2017:00:00:00;
A42;Actinomycose;99;A42;V8.0;02JUL2017:00:00:00;
A420;Actinomycose pulmonaire;99;A42;V8.0;02JUL2017:00:00:00;
A421;Actinomycose abdominale;99;A42;V8.0;02JUL2017:00:00:00;
A422;Actinomycose cervico-faciale;99;A42;V8.0;02JUL2017:00:00:00;
A427;Sepsis actinomycosique;99;A42;V8.0;02JUL2017:00:00:00;
A428;Autres formes d'actinomycose;99;A42;V8.0;02JUL2017:00:00:00;
A429;Actinomycose, sans précision;99;A42;V8.0;02JUL2017:00:00:00;
A43;Nocardiose;99;A43;V8.0;02JUL2017:00:00:00;
A430;Nocardiose pulmonaire;99;A43;V8.0;02JUL2017:00:00:00;
A431;Nocardiose cutanée;99;A43;V8.0;02JUL2017:00:00:00;
