PRS_NAT;PRS_NAT_STA;PRS_NAT_CB2;PRS_NAT_LIB;NAT_SOI_TOP;TDM_NAT_AFF;PRS_NAT_TDM;NAT_CPL_ACT;CCA_CPL_COD;PRN_AID_TOP;PRS_SPP_TOP;TOP_SNI;TYA_COD;CEL_TYP;TOP_PRS_SOI;PRS_NAT_RGT;TOP_TRF_OPP;PRS_NAT_OBS;TEC_COL
1163;99;KIT;REMUNERATION DEPISTAGE DU CANCER COLORECTAL;1;9;99;0;;0;;1;Z;20;0;47;;;0
1164;99;TLC;TÉLÉ CONSULTATION - ALD ET / OU EHPAD;1;9;99;0;;1;;1;C;20;0;1;;ferme le 14/09/2018;0
1165;99;TLE;TÉLÉ EXPERTISE - ALD ET/OU EHPAD;1;9;99;0;;0;;1;Z;20;0;1;;ferme le 09/02/2019;0
1166;99;TEC;FORFAIT COMPLÉMENTAIRE TÉLÉ EXPERTISE;1;9;99;0;;0;;1;Z;20;0;47;;;0
1167;99;NRD;VERSEMENT DE PENALITE DE RETARD AMO;1;9;99;0;;0;;1;Z;21;0;47;;;0
1168;99;CCP;CONSULTATION DE CONTRACEPTION ET PREVENTION;1;9;99;0;;1;;1;C;20;0;1;1;;0
1169;99;RCD;REMUNERATION POUR CERTIFICAT DE DECES;1;9;99;0;;0;;1;Z;20;0;47;;;0
1170;99;DHE;PEC EXCEPTIONNELLE DÉPASSEMENT HONORAIRE;1;9;99;0;;0;;1;Z;20;0;1;;;0
1171;99;CSR;RÉMUNÉRATION MÉDECIN TRAITANT CENTRES DE SANTÉ;1;9;99;0;;0;;0;Z;20;0;0;;;0
1172;99;TSA;TELESURVEILLANCE : PS EFFECTUANT L'ACCOMPAGNEMENT;1;9;99;0;;1;;1;C;20;0;1;;;0
1173;99;MTF;FORFAIT PATIENTELE MEDECIN TRAITANT;1;9;99;0;;0;;1;Z;21;0;47;;;0
1174;99;TSM;TELESURVEILLANCE : MEDECIN TELESURVEILLANT;1;9;99;0;;1;;1;C;20;0;1;;;0
1175;99;DHT;PEC EXCEPTIONNELLE DEPASSEMENT HONORAIRE TP;1;9;99;0;;0;;1;Z;20;0;1;;;0
1176;99;COI;CONTRAT INDIVIDUEL EMBAUCHE - AVANCE;1;9;99;0;;0;;1;Z;20;0;47;;;0
1177;99;AFC;AIDE FINANCIERE MATERNITE PATERNITE ADOPTION;1;9;99;0;;0;;1;Z;20;0;47;;;0
1178;99;P6P;FORFAIT STRUCT. MEDECIN;1;9;99;0;;0;;1;Z;21;0;47;;;0
1179;99;R6P;FORFAIT STRUCT. MEDECIN COMPLEMENT;1;9;99;0;;0;;1;Z;21;0;47;;;0
1180;99;P5P;ROSP MT ENFANT;1;9;99;0;;0;;1;Z;21;0;47;;;0
1181;99;R5P;ROSP MT ENFANT COMPLEMENT;1;9;99;0;;0;;1;Z;21;0;47;;;0
1182;99;PTM;REMUNERATION OPTAM;1;9;99;0;;0;;1;Z;21;0;47;;;0
1183;99;CTM;CONTESTATION OPTAM;1;9;99;0;;0;;1;Z;21;0;47;;;0
1184;99;COS;CONTRAT INDIVIDUEL EMBAUCHE - SOLDE;1;9;99;0;;0;;1;Z;20;0;47;;;0
1185;99;RNB;MURAINE - PAIEMENT DU BONUS ANNUEL;1;9;99;0;;0;;1;Z;20;0;47;;;0
1186;99;COC;CONTRAT INDIVIDUEL EMBAUCHE   OBJECTIFS COMPLEMENTAIRES;1;9;99;0;;0;;1;Z;20;0;47;;;0
1187;99;CCI;CONTRAT COLLECTIF   AIDE INVESTISSEMENT;1;9;99;0;;0;;0;Z;20;0;47;;;0
1188;99;CCA;CONTRAT COLLECTIF   ATTEINTE DES OBJECTIFS;1;9;99;0;;0;;0;Z;20;0;47;;;0
1189;99;COF;CONTRAT DE FORMATION;1;9;99;0;;0;;1;Z;20;0;47;;;0
1190;99;TSP;TELESURVEILLANCE : PRIME VARIABLE;1;9;99;0;;0;;1;Z;21;0;47;;;0
1191;99;TC;TELECONSULTATION TOUTES SPECIALITES;1;9;99;0;;1;1;1;C;20;0;1;;;0
1192;99;TCG;TELECONSULTATION GENERALISTE;1;9;99;0;;1;1;1;C;20;0;1;;;0
1193;99;TE1;TELE EXPERTISE DE NIVEAU 1;1;9;99;0;;1;;1;C;20;0;1;1;;0
1194;99;TE2;TELE EXPERTISE DE NIVEAU 2;1;9;99;0;;1;;1;C;20;0;1;1;;0
1195;99;A51;FOND INNOVATION - PAIEMENT;1;9;99;0;;0;;1;Z;21;0;47;;;0
1196;99;FIS;FORFAIT INNOVATION SYSTEME DE SANTE;1;9;99;0;;1;;1;Z;20;0;46;;;0
1197;99;RQT;FORFAIT REQUERANT;1;9;99;0;;0;;1;Z;21;0;47;;;0
1198;99;CRT;FORFAIT REQUERANT COMPLEMENTAIRE;1;9;99;0;;0;;1;Z;21;0;47;;;0
1209;99;VGS;VISITE SPECIALISTE MEDECINE GENERALE;1;9;99;0;;1;;1;C;20;0;1;1;;0
1210;99;VG;VISITE MEDECINE GENERALE;1;9;99;0;;1;;1;C;20;0;1;1;;0
1211;99;V;VISITE COTEE V;1;9;99;0;;1;;1;C;20;0;1;1;;0
1212;99;VS;VISITE COTEE VS;1;9;99;0;;1;;1;C;20;0;1;1;;0
1213;99;VNP;VISITE COTEE VNP;1;9;99;0;;1;;1;C;20;0;1;1;;0
1214;99;VL;VISITE LONGUE ET COMPLEXE;1;9;99;0;;1;;1;C;20;0;1;1;;0
1215;99;APV;AVIS PONCTUEL DE CONSULTANT MEDECIN (VISITE);1;9;99;0;;1;;1;C;20;0;1;1;;0
1216;99;AVY;AVIS PONCTUEL DE CONSULTANT PSYCHIATRE (VISITE);1;9;99;0;;1;;1;C;20;0;1;1;;0
1221;99;VA;VISITE D  URGENCE;1;9;99;0;;1;;1;C;20;0;1;1;fermé le 15/09/2014;0
1222;99;VU;VISITE URGENCE VU/MU;1;9;99;0;;1;;1;C;20;0;1;1;;0
1223;99;MMD;MAJORATION MAINTIEN A DOMICILE;1;9;99;1;4;0;;1;Z;;0;1;;fermé le 30/09/2002;0
1224;99;MD;MD (CRITERES MEDICAUX);1;9;99;1;4;0;1;1;Z;20;0;1;1;;0
1225;99;MDE;MDE ( CRITERES ENVIRONNEMENTAUX);1;9;99;1;4;0;;1;Z;20;0;1;1;fermé le 10/02/2007;0
1226;99;MDN;MD DE NUIT;1;9;99;1;1;0;1;1;Z;20;0;1;1;;0
1227;99;MDI;MD  DE MILIEU NUIT;1;9;99;1;1;0;1;1;Z;20;0;1;1;;0
1228;99;MDD;MD  DE DIMANCHE ET JOUR FERIES;1;9;99;1;2;0;1;1;Z;20;0;1;1;;0
1229;99;MEN;MDE  DE NUIT;1;9;99;1;1;0;;1;Z;;0;1;;fermé le 31/03/2003;0
1231;99;MEI;MDE MILIEU DE NUIT;1;9;99;1;1;0;;1;Z;;0;1;;fermé le 31/03/2003;0
1232;99;MED;MDE DIMANCHE ET JOUR FERIES;1;9;99;1;2;0;;1;Z;;0;1;;fermé le 31/03/2003;0
1311;99;KC;ACTES EN K CHIRURGICAL;1;9;99;0;;1;1;1;T;20;0;37;1;fermé le 01/12/2014;0
1312;99;K;ACTES DE SPECIALITE EN K;1;9;99;0;;1;1;1;T;20;0;1;1;;0
1313;99;KA;ACTES EN K D  URGENCE;1;9;99;0;;1;;1;T;20;0;1;1;fermé le 01/01/2011;0
1314;99;KFA;FORFAIT CHIRURGIE 1;1;9;99;1;8;0;;1;Z;20;0;1;;fermé le 31/12/2006;0
1315;99;KFB;FORFAIT CHIRURGIE 2;1;9;99;1;8;0;;1;Z;20;0;1;;fermé le 31/12/2006;0
1316;99;KE;ACTES DE DIAGNOSTIC COTES KE;1;9;99;0;;1;1;1;T;20;0;1;1;;0
1317;99;KCC;ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS;1;9;99;0;;0;;1;T;20;0;1;1;fermé le 31/12/2006;0
1318;99;KMO;ACTE DE PHONIATRIE PAR MEDECIN;1;9;99;0;;1;;1;T;20;0;1;1;;0
1319;99;KFC;MAJORATION FORFAIT ACCOUCHEMENT;1;9;99;1;7;0;;1;Z;20;0;1;;fermé le 31/12/2006;0
1320;99;KFD;FORFAIT RADIOGRAPHIE,ECHOGRAPHIE;1;9;99;1;15;0;;1;T;20;0;1;;fermé le 31/12/2006;0
1321;99;ADC;ACTE DE CHIRURGIE CCAM;1;9;99;0;;1;1;1;T;20;1;44;1;;0
1322;99;ACO;ACTE D'OBSTETRIQUE CCAM;1;9;99;0;;1;1;1;T;20;0;25;1;;0
1323;99;ADA;ACTE D'ANESTHESIE CCAM;1;9;99;0;;1;1;1;T;20;0;25;1;;0
1324;99;ADE;ACTE D'ECHOGRAPHIE CCAM;1;9;99;0;;1;1;1;T;20;0;25;1;;0
1331;99;Z;ACTES DE RADIOLOGIE;1;9;99;0;;1;1;1;T;20;0;1;1;;0
1332;99;ZN;ACTES DE RADIOLOGIE NUCLEAIRE;1;9;99;0;;0;;1;T;20;0;1;;fermé le 31/12/2006;0
1333;99;PRA;MAJORATION POUR PRODUIT RADIOPHARMACEUTIQUE;1;9;99;1;9;0;;1;T;20;0;1;;fermé le 31/12/2006;0
1335;99;ZM/ADI;ACTE DE RADIOLOGIE MAMMOGRAPHIE;1;9;99;0;;1;;1;T;;0;1;1;ZM : fermé le 31/12/2006;0
1336;99;ZM DEPISTAGE/ADI;ACTE DE RADIOLOGIE MAMMOGRAPHIE DEPISTAGE;1;9;99;0;;1;;1;T;;0;1;1;ZM : fermé le 31/12/2006;0
1341;99;P;ACTES D  ANATOMO-CYTO-PATHOLOGIE/MEDECINS;1;9;99;0;;1;;1;T;20;0;1;1;fermé le 01/03/2011;0
1342;99;MAP;MAJORATION ANATOMO-CYTO-PATHOLOGIE;1;9;99;1;19;0;;1;Z;20;0;1;1;fermé le 01/03/2011;0
1345;99;MTC;MAJORATION TRANSITOIRE;1;9;99;1;14;0;;1;Z;20;0;1;;fermé le 31/12/2006;0
1351;99;ADI;ACTE D'IMAGERIE (hors ECHOGRAPHIE) CCAM;1;9;99;0;;1;1;1;T;20;1;25;1;;0
1352;99;ATM;ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM;1;9;99;0;;1;1;1;T;20;1;25;1;;0
1361;99;VDC;VIDEOCAPSULE;1;9;99;0;;0;;1;T;20;0;49;;;0
1400;99;BR1;BRIDGE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1401;99;PF0;PROTHESE FIXE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1402;99;PF1;PROTHESE FIXE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1403;99;RF0;REPARATION FACETTE PROTHESE AMOVIBLE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1404;99;RA0;REPARATION ADJONCTION RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1405;99;RS0;REPARATION PROTHESE ADJOINTE SIMPLE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1406;99;SU0;SUPPLEMENT PROTHESE RESINE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1407;99;CT1;COURONNE TRANSITOIRE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1408;99;CZ1;COURONNE ZIRCONE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1409;99;IC1;INLAY CORE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1410;99;IN1;INLAY ONLAY RAC MOERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1411;99;SCM/SPA;ACTES EN SCM (ET SPA POUR LA CRPCEN);1;9;99;0;;1;1;1;T;;1;34;1;SCM : fermé le 01/12/2014;0
1412;99;PA1;PROTHESE AMOVIBLE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1413;99;RE1;REPARATION PROTHESE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1414;99;SU1;SUPPLEMENT PROTHESE METALLIQUE RAC MODERE;1;9;99;0;;1;;1;T;20;1;42;;;0
1415;99;CM0;PROTHESE FIXE METALLIQUE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1416;99;CT0;COURONNE TRANSITOIRE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1417;99;CZ0;COURONNE ZIRCONE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1418;99;IC0;INLAY CORE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1419;99;PA0;PROTHESE AMOVIBLE RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1420;99;PT0;PROTHESE AMOVIBLE DE TRANSITION RAC 0;1;9;99;0;;1;;1;T;20;1;42;;;0
1421;99;PRO;ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE MEDECIN;1;9;99;0;;1;1;1;T;20;1;35;;fermé le 01/12/2014;0
1422;99;ORT/EOS;TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE MEDECIN (ET EOS POUR LA CRPCEN);1;9;99;0;;1;;1;T;20;1;36;;;0
1423;99;SPR;ACTES DE PROTHESE DENTAIRE PRATIQUES PAR LE CHIRURGIEN-DENTISTE;1;9;99;0;;1;1;1;Z;20;0;35;;fermé le 01/12/2014;0
1424;99;TO/ETO;TRAITEMENTS D  ORTHODONTIE PRATIQUES PAR LE CHIRURGIEN-DENTISTE (ET ETO POUR LA CRPCEN);1;9;99;0;;1;;1;Z;;0;36;;;0
1425;99;ATD;COMPLEMENT AT 150% DENTAIRE;1;9;99;1;27;0;;1;Z;20;0;35;;;0
1426;99;DDE;PEC EXCEPTIONNELLE DÉPASSEMENT DENTAIRE;1;9;99;0;;0;;1;Z;20;0;41;;;0
1427;99;DDT;PEC EXCEPTIONNELLE DEPASSEMENT DENTAIRE TP;1;9;99;0;;0;;1;Z;20;0;41;;;0
1431;99;D/OCC;ACTES EN D (ET OCC POUR LA CRPCEN);1;9;99;0;;1;1;1;Z;;0;2;;fermé le 01/12/2014;0
1432;99;DC;ACTES EN DC;1;9;99;0;;1;1;1;Z;20;0;37;;;0
1433;99;SC/SCA;ACTES EN SC (ET SCA POUR LA CRPCEN);1;9;99;0;;1;1;1;Z;;0;34;;SC: fermé le 01/12/2014;0
1434;99;BDC;PREVENTION BUCCO-DENTAIRE: CONSULTATION - MATER;1;9;99;0;;1;;1;Z;20;0;20;;;0
1435;99;BR2;PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES-MATER;1;9;99;0;;1;;1;Z;20;0;20;;;0
1436;99;BR4;PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES-MATER;1;9;99;0;;1;;1;Z;20;0;20;;;0
1437;99;MCD;Majoration spécifique PDS Clinique Dentiste;1;9;99;1;23;0;;1;Z;20;0;2;;;0
1451;99;SDE;SOINS DENTAIRES;1;9;99;0;;1;;1;T;20;1;41;1;;0
1452;99;PAR;PROTHESE AMOVIBLE DEFINITIVE RESINE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE RESINE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1453;99;AXI;PROPHYLAXIE BUCCO DENTAIRE CCAM;1;9;99;0;;1;;1;T;20;1;41;1;;0
1461;99;ADP;ACTES DIVERS PROTHESE DENTAIRE CCAM;1;9;99;0;;0;;0;Z;;1;0;;;0
1462;99;PFM;PROTHESE FIXE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE METALLIQUE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1463;99;PFE;PROTHESE DENTAIRE FIXE ESTHETIQUE CCAM;1;9;99;0;;0;;0;Z;;1;0;;;0
1464;99;PDA;PROTHESE DENTAIRE AMOVIBLE CCAM;1;9;99;0;;0;;0;Z;;1;0;;;0
1465;99;IMP;IMPLANTOLOGIE - CCAM;1;9;99;0;;1;;1;T;20;1;25;1;;0
1466;99;TOR;TRAITEMENT ORTHOPEDIE DENTO FACIALE CCAM;1;9;99;0;;0;;0;Z;;1;0;;;0
1470;99;END;ENDODONTIE;1;9;99;0;;1;;1;T;20;1;41;1;;0
1471;99;INO;INLAY-ONLAY, A partir du 01/04/2019 (en date de soins) INLAY-ONLAY TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;41;1;;0
1472;99;TDS;PARODONTOLOGIE;1;9;99;0;;1;;1;T;20;1;25;1;;0
1473;99;ICO;INLAY-CORE, A partir du 01/04/2019 (en date de soins) INLAY-CORE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1474;99;PAM;PROTHESE AMOVIBLE DEFINITIVE METALLIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE AMOVIBLE METALLIQUE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1475;99;PDT;PROTHESE DENTAIRE PROVISOIRE, A partir du 01/04/2019 (en date de soins) COURONNE TRANSITOIRE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1476;99;PFC;PROTHESE FIXE CERAMIQUE, A partir du 01/04/2019 (en date de soins) PROTHESE FIXE CERAMIQUE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1477;99;RPN;REPARATION SUR PROTHESE, A partir du 01/04/2019 (en date de soins) REPARATION PROTHESE TARIF LIBRE;1;9;99;0;;1;;1;T;20;1;42;;;0
1511;99;A;FORFAIT D  ACCOUCHEMENT SIMPLE DES SAGES-FEMMES (FORFAIT N91);1;9;99;0;;0;;1;Z;;0;1;;fermé le 21/11/2004;0
1512;99;AM;FORFAIT D  ACCOUCHEMENT MULTIPLE DES SAGES-FEMMES (FORFAIT N92);1;9;99;0;;0;;1;Z;;0;1;;ferme le 21/11/2004;0
1521;99;MG;MAJORATION POUR GARDE;1;9;99;1;7;0;;1;Z;20;0;1;;;0
1522;99;MA;MAJORATION ASTREINTE;1;9;99;1;7;0;;1;Z;20;0;1;;;0
1523;99;PRC;Permanence Rémunération demi-journée Chirurgien-dentiste;1;9;99;0;;0;;1;Z;20;0;47;;;0
